Caller Method	Caller Library	setAccessible Called On	Visibility	Callee Name	Field Signature	Callee Library
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumTest$Roshambo::SCISSORS	com.google.gson.functional.EnumTest$Roshambo	unknownLib
com.google.gson.internal.reflect.UnsafeReflectionAccessor::getUnsafeInstance()Ljava/lang/Object;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	private	sun.misc.Unsafe::theUnsafe	sun.misc.Unsafe	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.ReusedTypeVariablesFullyResolveTest$TestEnum::ONE	com.google.gson.functional.ReusedTypeVariablesFullyResolveTest$TestEnum	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumTest$MyEnum::VALUE2	com.google.gson.functional.EnumTest$MyEnum	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.ReusedTypeVariablesFullyResolveTest$TestEnum::THREE	com.google.gson.functional.ReusedTypeVariablesFullyResolveTest$TestEnum	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumTest$MyEnum::VALUE1	com.google.gson.functional.EnumTest$MyEnum	unknownLib
com.google.gson.internal.reflect.UnsafeReflectionAccessor::makeAccessible(Ljava/lang/reflect/AccessibleObject;)V	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	private	com.google.gson.internal.reflect.UnsafeReflectionAccessorTest$ClassWithPrivateFinalFields::a	java.lang.String	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumTest$Color::BLUE	com.google.gson.functional.EnumTest$Color	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.RuntimeTypeAdapterFactoryFunctionalTest$ShapeType::CIRCLE	com.google.gson.functional.RuntimeTypeAdapterFactoryFunctionalTest$ShapeType	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumWithObfuscatedTest$Gender::a	com.google.gson.functional.EnumWithObfuscatedTest$Gender	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumWithObfuscatedTest$Gender::b	com.google.gson.functional.EnumWithObfuscatedTest$Gender	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumTest$Gender::FEMALE	com.google.gson.functional.EnumTest$Gender	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumTest$Color::GREEN	com.google.gson.functional.EnumTest$Color	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumTest$Roshambo::PAPER	com.google.gson.functional.EnumTest$Roshambo	unknownLib
com.google.gson.internal.bind.TypeAdapters$EnumTypeAdapter$1::run()Ljava/lang/Void;	com.google.code.gson:gson:2.8.8	java.lang.reflect.Field	public	com.google.gson.functional.EnumTest$Gender::MALE	com.google.gson.functional.EnumTest$Gender	unknownLib
